,movement,name,image_url,artist,description
0,Academism,Slave Auction or Slave Market in Rome,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Slave+Auction+or+Slave+Market+in+Rome.jpg,Jean-Léon Gérôme,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
1,Art Nouveau,The Kiss,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Gustav+Klimt/The+Kiss.jpg,Gustav Klimt,"Art Nouveau (/ˌɑːrt nuːˈvoʊ, ˌɑːr/; French: [aʁ nuvo]) is an international style of art, architecture, and applied art, especially the decorative arts. The style is known by different names in different languages: Jugendstil in German, Stile Liberty in Italian, Modernisme in Catalan, and also known as the Modern Style in English. It was popular between 1890 and 1910 during the Belle Époque period,[1] and was a reaction against the academic art, eclecticism and historicism of 19th century architecture and decoration. It was often inspired by natural forms such as the sinuous curves of plants and flowers.[2] Other characteristics of Art Nouveau were a sense of dynamism and movement, often given by asymmetry or whiplash lines, and the use of modern materials, particularly iron, glass, ceramics and later concrete, to create unusual forms and larger open spaces.[3]

One major objective of Art Nouveau was to break down the traditional distinction between fine arts (especially painting and sculpture) and applied arts. It was most widely used in interior design, graphic arts, furniture, glass art, textiles, ceramics, jewellery and metal work. The style responded to leading 19-century theoreticians, such as French architect Eugène-Emmanuel Viollet-le-Duc (1814–1879) and British art critic John Ruskin (1819–1900). In Britain, it was influenced by William Morris and the Arts and Crafts movement. German architects and designers sought a spiritually uplifting Gesamtkunstwerk (""total work of art"") that would unify the architecture, furnishings, and art in the interior in a common style, to uplift and inspire the residents.[3]

The first Art Nouveau houses and interior decoration appeared in Brussels in the 1890s, in the architecture and interior design of houses designed by Paul Hankar, Henry van de Velde, and especially Victor Horta, whose Hôtel Tassel was completed in 1893.[4][5][6] It moved quickly to Paris, where it was adapted by Hector Guimard, who saw Horta's work in Brussels and applied the style for the entrances of the new Paris Métro. It reached its peak at the 1900 Paris International Exposition, which introduced the Art Nouveau work of artists such as Louis Tiffany. It appeared in graphic arts in the posters of Alphonse Mucha, and the glassware of René Lalique and Émile Gallé.

From Belgium and France, Art Nouveau spread to the rest of Europe,[citation needed] taking on different names and characteristics in each country (see Naming section below). It often appeared not only in capitals, but also in rapidly growing cities that wanted to establish artistic identities (Turin and Palermo in Italy; Glasgow in Scotland; Munich and Darmstadt in Germany), as well as in centres of independence movements (Helsinki in Finland, then part of the Russian Empire; Barcelona in Catalonia, Spain).

By 1914, and with the beginning of the First World War, Art Nouveau was largely exhausted. In the 1920s, it was replaced as the dominant architectural and decorative art style by Art Deco and then Modernism.[7] The Art Nouveau style began to receive more positive attention from critics in the late 1960s, with a major exhibition of the work of Hector Guimard at the Museum of Modern Art in 1970."
2,Baroque,The Return of the Prodigal Son (detail -4) c. 1669,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Rembrandt+Van+Rijn/The+Return+of+the+Prodigal+Son+(detail+-4)+c.+1669.jpg,Rembrandt Van Rijn,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
3,Expressionism,Kneeling Female Nude Back View,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Egon+Schiele/Kneeling+Female+Nude+Back+View.jpg,Egon Schiele,"Expressionism is a modernist movement, initially in poetry and painting, originating in Northern Europe around the beginning of the 20th century. Its typical trait is to present the world solely from a subjective perspective, distorting it radically for emotional effect in order to evoke moods or ideas.[1][2] Expressionist artists have sought to express the meaning[3] of emotional experience rather than physical reality.[3][4]

Expressionism developed as an avant-garde style before the First World War. It remained popular during the Weimar Republic,[1] particularly in Berlin. The style extended to a wide range of the arts, including expressionist architecture, painting, literature, theatre, dance, film and music.[5]

The term is sometimes suggestive of angst. In a historical sense, much older painters such as Matthias Grünewald and El Greco are sometimes termed expressionist, though the term is applied mainly to 20th-century works. The Expressionist emphasis on individual and subjective perspective has been characterized as a reaction to positivism and other artistic styles such as Naturalism and Impressionism.["
4,Hudson River School,"Cathedral Rocks, Yosemite Valley, California",https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Albert+Bierstadt/Cathedral+Rocks%2C+Yosemite+Valley%2C+California.jpg,Albert Bierstadt,"The Hudson River School was a mid-19th century American art movement embodied by a group of landscape painters whose aesthetic vision was influenced by Romanticism. The paintings typically depict the Hudson River Valley and the surrounding area, including the Catskill, Adirondack, and White Mountains.

Works by second generation artists expanded to include other locales in New England, the Maritimes, the American West, and South America."
5,Impressionism,Two Sisters Aka On The Terrace,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Pierre+Auguste+Renoir/Two+Sisters+Aka+On+The+Terrace.jpg,Pierre Auguste Renoir,"Impressionism was a 19th-century art movement characterized by relatively small, thin, yet visible brush strokes, open composition, emphasis on accurate depiction of light in its changing qualities (often accentuating the effects of the passage of time), ordinary subject matter, unusual visual angles, and inclusion of movement as a crucial element of human perception and experience. Impressionism originated with a group of Paris-based artists whose independent exhibitions brought them to prominence during the 1870s and 1880s.

The Impressionists faced harsh opposition from the conventional art community in France. The name of the style derives from the title of a Claude Monet work, Impression, soleil levant (Impression, Sunrise), which provoked the critic Louis Leroy to coin the term in a satirical review published in the Parisian newspaper Le Charivari. The development of Impressionism in the visual arts was soon followed by analogous styles in other media that became known as impressionist music and impressionist literature.
"
6,Mannerism,The Capture of Constantinople in 1204,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jacopo+Tintoretto/The+Capture+of+Constantinople+in+1204.jpg,Jacopo Tintoretto,"Mannerism is a style of art that was created in the Late Renaissance period, from about 1520 until about 1600. The Mannerist style of painting or sculpture often shows figures that are ""elongated"" (made longer) and ""distorted"" (made into strange shapes"").[1] The aim of the Mannerist artist was usually to make art that looked ""elegant"".[2]

The Mannerist style began in Italy, where the artists were influenced by the figures that Michelangelo painted on the ceiling and in the ""Last Judgement"" in the Sistine Chapel.[2] During the Renaissance, artists like Leonardo da Vinci and Raphael had tried very hard to learn from nature, and to paint things in a way that was very realistic. These two famous painters both died around 1520. Many artists then decided that they were going to use the art of painting to ""express themselves"". They were not going to follow the rules of anatomy and perspective in the way that Leonardo and Raphael did.[2] Mannerist paintings are often full of figures that seem to be twisting, writhing or fighting. The faces of the figures often show strong emotions such as sadness, fear, hatred or sexual feelings.

Not all the painters who were working during the Mannerist period painted in the Mannerist style. Many artists continued to work in the style of the High Renaissance.[1] Painters in the Mannerist style were Tintoretto, Jacopo Pontormo, Agnolo Bronzino, Parmigianino and Rosso Fiorentino. Giambologna and Benvenuti Cellini were Mannerist sculptors. Giulio Romano was a Mannerist architect.[3]

Mannerism spread from Italy to France, Germany and Spain. One of the most famous Mannerist painters was El Greco who worked in Spain.[2] Some other artists who worked in the Mannerist style are the French sculptor Jean Goujon, the Dutch painter Abraham Bloemaert and the German painter Bartolomeus Spranger. Possibly the strangest paintings from this time were by Giuseppe Arcimboldo who did pictures in which people's faces seem to be made from fruit, flowers, fire and even fish."
7,Neoclassicism,In The Tepidarium,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/John+William+Godward/In+The+Tepidarium.jpg,John William Godward,"Neoclassicism (also spelled Neo-classicism) was a Western cultural movement in the decorative and visual arts, literature, theatre, music, and architecture that drew inspiration from the art and culture of classical antiquity. Neoclassicism was born in Rome largely thanks to the writings of Johann Joachim Winckelmann, at the time of the rediscovery of Pompeii and Herculaneum, but its popularity spread all over Europe as a generation of European art students finished their Grand Tour and returned from Italy to their home countries with newly rediscovered Greco-Roman ideals.[1][2] The main Neoclassical movement coincided with the 18th-century Age of Enlightenment, and continued into the early 19th century, laterally competing with Romanticism. In architecture, the style continued throughout the 19th, 20th and up to the 21st century.

European Neoclassicism in the visual arts began c. 1760 in opposition to the then-dominant Rococo style. Rococo architecture emphasizes grace, ornamentation and asymmetry; Neoclassical architecture is based on the principles of simplicity and symmetry, which were seen as virtues of the arts of Rome and Ancient Greece, and were more immediately drawn from 16th-century Renaissance Classicism. Each ""neo""-classicism selects some models among the range of possible classics that are available to it, and ignores others. The Neoclassical writers and talkers, patrons and collectors, artists and sculptors of 1765–1830 paid homage to an idea of the generation of Phidias, but the sculpture examples they actually embraced were more likely to be Roman copies of Hellenistic sculptures. They ignored both Archaic Greek art and the works of Late Antiquity. The ""Rococo"" art of ancient Palmyra came as a revelation, through engravings in Wood's The Ruins of Palmyra. Even Greece was all-but-unvisited, a rough backwater of the Ottoman Empire, dangerous to explore, so Neoclassicists' appreciation of Greek architecture was mediated through drawings and engravings, which subtly smoothed and regularized, ""corrected"" and ""restored"" the monuments of Greece, not always consciously.

The Empire style, a second phase of Neoclassicism in architecture and the decorative arts, had its cultural centre in Paris in the Napoleonic era. Especially in architecture, but also in other fields, Neoclassicism remained a force long after the early 19th century, with periodic waves of revivalism into the 20th and even the 21st centuries, especially in the United States and Russia."
8,Orientalism,Slave Auction or Slave Market in Rome,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Jean-L%C3%A9on+G%C3%A9r%C3%B4me/Slave+Auction+or+Slave+Market+in+Rome.jpg,Jean-Léon Gérôme,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
9,Post-Impressionism,Blossoming Almond Tree,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Blossoming+Almond+Tree.jpg,Vincent Van Gogh,"Post-Impressionism (also spelled Postimpressionism) was a predominantly French art movement that developed roughly between 1886 and 1905, from the last Impressionist exhibition to the birth of Fauvism. Post-Impressionism emerged as a reaction against Impressionists' concern for the naturalistic depiction of light and colour. Its broad emphasis on abstract qualities or symbolic content means Post-Impressionism encompasses Les Nabis, Neo-Impressionism, Symbolism, Cloisonnism, the Pont-Aven School, and Synthetism, along with some later Impressionists' work. The movement's principal artists were Paul Cézanne (known as the father of Post-Impressionism), Paul Gauguin, Vincent van Gogh and Georges Seurat.[1]

The term Post-Impressionism was first used by art critic Roger Fry in 1906.[2][3] Critic Frank Rutter in a review of the Salon d'Automne published in Art News, 15 October 1910, described Othon Friesz as a ""post-impressionist leader""; there was also an advert for the show The Post-Impressionists of France.[4] Three weeks later, Roger Fry used the term again when he organised the 1910 exhibition Manet and the Post-Impressionists, defining it as the development of French art since Manet.

Post-Impressionists extended Impressionism while rejecting its limitations: they continued using vivid colours, sometimes using impasto (thick application of paint) and painting from life, but were more inclined to emphasize geometric forms, distort form for expressive effect, and use unnatural or modified colour.
"
